algo,n,mode,seed,time_limit,status,cost,opt_cost,rel_error,elapsed,iterations,opt_cost_bench,rel_error_bench,rel_error_ref,algo_display
aco,50,uniform,4,250.0,ok,1.4582783039025848,1.38567,0.05239941970496931,7.735805034637451,200.0,1.3856696581784833,0.0523996793142951,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,50,uniform,4,250.0,ok,1.3856696581784833,1.38567,-2.4668320497411855e-07,0.0167620182037353,224.0,1.3856696581784833,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,50,uniform,4,,ok,1.3856696581784833,1.38567,-2.4668320497411855e-07,0.0,,1.3856696581784833,0.0,unlimited_hungarian,Венгерский SciPy
greedy,50,uniform,4,,ok,2.6246051186446246,1.38567,0.894105464248071,0.0,,1.3856696581784833,0.8941059314921929,unlimited_hungarian,Жадный
aco,100,uniform,0,250.0,ok,2.0048039530801853,1.66128,0.20678269351354683,18.686121463775635,200.0,1.6612799516999135,0.2067827285995709,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,100,uniform,0,250.0,ok,1.6612799516999135,1.66128,-2.907401919216568e-08,0.0781600475311279,685.0,1.6612799516999135,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,100,uniform,0,,ok,1.6612799516999135,1.66128,-2.907401919216568e-08,0.0,,1.6612799516999135,0.0,unlimited_hungarian,Венгерский SciPy
greedy,100,uniform,0,,ok,3.4902455053428705,1.66128,1.1009375333133908,0.0,,1.6612799516999135,1.1009375943960906,unlimited_hungarian,Жадный
aco,100,uniform,1,250.0,ok,2.1312595585111684,1.624391,0.3120360544420453,18.850444316864014,200.0,1.624390547679894,0.312036419785397,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,100,uniform,1,250.0,ok,1.624390547679894,1.624391,-2.7845519079416903e-07,0.0781378746032714,902.0,1.624390547679894,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,100,uniform,1,,ok,1.624390547679894,1.624391,-2.7845519079416903e-07,0.0,,1.624390547679894,0.0,unlimited_hungarian,Венгерский SciPy
greedy,100,uniform,1,,ok,3.4659345722894166,1.624391,1.133682452247899,0.0156235694885253,,1.624390547679894,1.1336830463830188,unlimited_hungarian,Жадный
aco,100,uniform,2,250.0,ok,2.148147851960013,1.531652,0.4025038663874123,18.351426124572757,200.0,1.531651942072291,0.4025039194306876,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,100,uniform,2,250.0,ok,1.531651942072291,1.531652,-3.782041158029159e-08,0.0468800067901611,523.0,1.531651942072291,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,100,uniform,2,,ok,1.531651942072291,1.531652,-3.782041158029159e-08,0.0,,1.531651942072291,0.0,unlimited_hungarian,Венгерский SciPy
greedy,100,uniform,2,,ok,3.4770479892416657,1.531652,1.2701292390449432,0.0156550407409667,,1.531651942072291,1.2701293249021688,unlimited_hungarian,Жадный
aco,100,uniform,3,250.0,ok,1.7741663570666826,1.462691,0.21294679263541139,19.06689953804016,200.0,1.4626912665295322,0.2129465716139637,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,100,uniform,3,250.0,ok,1.4626912665295322,1.462691,1.822186177502516e-07,0.0613265037536621,470.0,1.4626912665295322,0.0,unlimited_hungarian,Венгерский
