algo_display,n,mean_rel_error,std_rel_error,mean_elapsed,std_elapsed,count,timeouts
Венгерский,25,-5.453847433667391e-08,2.2415738751479728e-07,0.0029048442840575997,0.006495429283204502,5,0
Венгерский,50,8.006966867313281e-09,2.0137367001072464e-07,0.00960245132446286,0.00877807782371806,5,0
Венгерский,100,-7.448820833477754e-08,1.7964188410724675e-07,0.0654016017913818,0.013162874307227006,5,0
Венгерский,300,1.6373481435127956e-07,1.7907159578833456e-07,0.9502652645111084,0.2368444902439709,5,0
Венгерский,500,6.447514522278652e-08,1.6410538274783984e-07,3.62357611656189,0.2256246991600486,5,0
Венгерский,1000,-9.173537343087901e-08,1.8398057420263636e-07,21.60360050201416,0.4184911429740218,5,0
Венгерский SciPy,25,-5.453847433667391e-08,2.2415738751479728e-07,0.0,0.0,5,0
Венгерский SciPy,50,8.006966867313281e-09,2.0137367001072464e-07,0.0,0.0,5,0
Венгерский SciPy,100,-7.448820833477754e-08,1.7964188410724675e-07,0.0,0.0,5,0
Венгерский SciPy,300,1.6373481435127956e-07,1.7907159578833456e-07,0.0,0.0,5,0
Венгерский SciPy,500,6.447514522278652e-08,1.6410538274783984e-07,0.009340858459472601,0.008527278177877962,5,0
Венгерский SciPy,1000,-9.173537343087901e-08,1.8398057420263636e-07,0.05006971359252924,0.0069198858091011435,5,0
Жадный,25,0.6732984786841412,0.3311791923659469,0.0,0.0,5,0
Жадный,50,0.9166947901771261,0.3979099698296313,0.00312561988830566,0.006989098542076755,5,0
Жадный,100,1.3889673871904544,0.31488602695640955,0.0093807220458984,0.008563397670493947,5,0
Жадный,300,2.1528684296069356,0.19066671885411546,0.09689769744873042,0.007023869543844413,5,0
Жадный,500,2.153134782735253,0.3452632946881174,0.2844237804412842,0.02020733155445511,5,0
Жадный,1000,2.893648422301255,0.316540966420741,1.3348303318023682,0.024483233076378768,5,0
Муравьиный алг-м,25,0.00498767030854248,0.007343080980521665,4.96971321105957,0.05730799972904648,5,0
Муравьиный алг-м,50,0.057838084248558894,0.009121904896985758,7.737636232376099,0.1406879997958471,5,0
Муравьиный алг-м,100,0.27617945595483173,0.08205353243648343,18.717248582839964,0.2655984640298346,5,0
Муравьиный алг-м,300,0.8884010433105238,0.08494181297308291,98.57340054512024,1.6959676103027976,5,0
Муравьиный алг-м,500,1.117500579151471,0.19465512570268323,250.15130877494812,0.07693989946461811,5,0
Муравьиный алг-м,1000,1.982858709485835,0.0727697551915854,250.50644373893738,0.3197888627103805,5,0
