algo_display,n,mean_rel_error,std_rel_error,mean_elapsed,std_elapsed,count,timeouts
Венгерский,25,-5.453847433667391e-08,2.2415738751479728e-07,0.006250572204589841,0.008558948544194249,5,0
Венгерский,50,8.006966867313281e-09,2.0137367001072464e-07,0.009376096725463839,0.008559166535480101,5,0
Венгерский,100,-7.448820833477754e-08,1.7964188410724675e-07,0.06888155937194822,0.023762548230175977,5,0
Венгерский,300,0.1721750360358825,0.25126831423485796,0.9237203598022461,0.10511916299895908,5,2
Венгерский,500,1.7786556407343244,0.33660811399310764,1.0041257381439208,0.0026028151890837544,5,5
Венгерский,1000,2.788998372165773,0.3821435202731893,1.0422723293304443,0.005664067416337407,5,5
Венгерский SciPy,25,-5.453847433667391e-08,2.2415738751479728e-07,0.0,0.0,5,0
Венгерский SciPy,50,8.006966867313281e-09,2.0137367001072464e-07,0.0,0.0,5,0
Венгерский SciPy,100,-7.448820833477754e-08,1.7964188410724675e-07,0.0031254768371582,0.006988778669986775,5,0
Венгерский SciPy,300,1.6373481435127956e-07,1.7907159578833456e-07,0.0,0.0,5,0
Венгерский SciPy,500,6.447514522278652e-08,1.6410538274783984e-07,0.0,0.0,5,0
Венгерский SciPy,1000,-9.173537343087901e-08,1.8398057420263636e-07,0.053459501266479456,0.00896865120197522,5,0
Жадный,25,0.6732984786841412,0.3311791923659469,0.0,0.0,5,0
Жадный,50,0.9166947901771261,0.3979099698296313,0.0,0.0,5,0
Жадный,100,1.3889673871904544,0.31488602695640955,0.006270074844360341,0.00858696307412286,5,0
Жадный,300,2.1528684296069356,0.19066671885411546,0.10322184562683101,0.008397988667481622,5,0
Жадный,500,2.153134782735253,0.3452632946881174,0.3145944595336914,0.01082892908226863,5,0
Жадный,1000,2.893648422301255,0.316540966420741,1.3595152378082276,0.031455161063519664,5,0
Муравьиный алг-м,25,0.00498767030854248,0.007343080980521665,1.002437686920166,0.0018541821679923167,5,0
Муравьиный алг-м,50,0.1710625512909237,0.07954864807496333,1.0028743267059326,0.0029073987447417095,5,0
Муравьиный алг-м,100,0.6541013289721525,0.09035974625718299,1.002161693572998,0.0032682032416933653,5,0
Муравьиный алг-м,300,1.5052797140138712,0.09612658605528278,1.0594693183898924,0.01274944939039432,5,0
Муравьиный алг-м,500,2.0318531347719526,0.12682423490914632,1.1690988540649414,0.080115957093835,5,0
Муравьиный алг-м,1000,2.7065557359426906,0.16917962174120096,1.1509105205535888,0.05107786990880181,5,0
