algo_display,n,mean_rel_error,std_rel_error,mean_elapsed,std_elapsed,count,timeouts
Венгерский,25,-5.453847433667391e-08,2.2415738751479728e-07,0.00312442779541014,0.006986432941326878,5,0
Венгерский,50,8.006966867313281e-09,2.0137367001072464e-07,0.012480401992797801,0.006976762388359005,5,0
Венгерский,100,-7.448820833477754e-08,1.7964188410724675e-07,0.0656332969665527,0.01702897159862142,5,0
Венгерский,300,1.6373481435127956e-07,1.7907159578833456e-07,0.9443680763244628,0.23709677891396821,5,0
Венгерский,500,6.447514522278652e-08,1.6410538274783984e-07,3.590477800369263,0.20813884160129797,5,0
Венгерский,1000,-9.173537343087901e-08,1.8398057420263636e-07,21.534940242767334,0.6460907373881167,5,0
Венгерский SciPy,25,-5.453847433667391e-08,2.2415738751479728e-07,0.0,0.0,5,0
Венгерский SciPy,50,8.006966867313281e-09,2.0137367001072464e-07,0.0,0.0,5,0
Венгерский SciPy,100,-7.448820833477754e-08,1.7964188410724675e-07,0.0,0.0,5,0
Венгерский SciPy,300,1.6373481435127956e-07,1.7907159578833456e-07,0.00931763648986814,0.008506315570001529,5,0
Венгерский SciPy,500,6.447514522278652e-08,1.6410538274783984e-07,0.009351587295532201,0.008537330105484919,5,0
Венгерский SciPy,1000,-9.173537343087901e-08,1.8398057420263636e-07,0.04688730239868162,2.4920501681918134e-05,5,0
Жадный,25,0.6732984786841412,0.3311791923659469,0.0,0.0,5,0
Жадный,50,0.9166947901771261,0.3979099698296313,0.00312428474426268,0.006986113069236899,5,0
Жадный,100,1.3889673871904544,0.31488602695640955,0.00941925048828122,0.008598998545243198,5,0
Жадный,300,2.1528684296069356,0.19066671885411546,0.0907140731811523,0.007039857841333525,5,0
Жадный,500,2.153134782735253,0.3452632946881174,0.30208277702331543,0.04681285273485421,5,0
Жадный,1000,2.893648422301255,0.316540966420741,1.3375545501708985,0.020888321149354964,5,0
Муравьиный алг-м,25,-5.4538474247856075e-08,2.241573873873046e-07,47.282239818573,0.1576545549066433,5,0
Муравьиный алг-м,50,0.018601270900798727,0.012453536286134095,101.98211359977722,1.4449768577048363,5,0
Муравьиный алг-м,100,0.11784901150143727,0.012849957245264488,250.00903482437133,0.004855443110483882,5,0
Муравьиный алг-м,300,1.1185828374680324,0.09087948384902528,250.05623769760132,0.024716528105854035,5,0
Муравьиный алг-м,500,1.7387389657941035,0.12123289410475711,250.13894467353822,0.07567516313877823,5,0
Муравьиный алг-м,1000,2.5659241255900245,0.15508709521209513,250.50964159965514,0.4049462304882085,5,0
