algo,n,mode,seed,time_limit,status,cost,opt_cost,rel_error,elapsed,iterations,opt_cost_bench,rel_error_bench,rel_error_ref,algo_display
aco,25,uniform,0,1.0,ok,1.958068892282029,1.884642,0.03896065792974435,1.0156219005584717,21.0,1.884642070812382,0.0389606188924754,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,25,uniform,0,1.0,ok,1.884642070812382,1.884642,3.757338640220098e-08,0.0,85.0,1.884642070812382,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,25,uniform,0,,ok,1.884642070812382,1.884642,3.757338640220098e-08,0.0,,1.884642070812382,0.0,unlimited_hungarian,Венгерский SciPy
greedy,25,uniform,0,,ok,2.789388284937999,1.884642,0.4800626776533683,0.0,,1.884642070812382,0.4800626220424034,unlimited_hungarian,Жадный
aco,25,uniform,1,1.0,ok,1.993632600432358,1.96015,0.01708165213496815,1.0036416053771973,21.0,1.9601500772153848,0.0170816120694896,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,25,uniform,1,1.0,ok,1.9601500772153848,1.96015,3.939258963470138e-08,0.0,133.0,1.9601500772153848,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,25,uniform,1,,ok,1.9601500772153848,1.96015,3.939258963470138e-08,0.0,,1.9601500772153848,0.0,unlimited_hungarian,Венгерский SciPy
greedy,25,uniform,1,,ok,3.112644856228399,1.96015,0.5879625825719454,0.0,,1.9601500772153848,0.5879625200179893,unlimited_hungarian,Жадный
aco,25,uniform,2,1.0,ok,1.531741604027439,1.531742,-2.585112642838894e-07,1.0021860599517822,21.0,1.531741604027439,0.0,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,25,uniform,2,1.0,ok,1.531741604027439,1.531742,-2.585112642838894e-07,0.0,95.0,1.531741604027439,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,25,uniform,2,,ok,1.531741604027439,1.531742,-2.585112642838894e-07,0.0156219005584716,,1.531741604027439,0.0,unlimited_hungarian,Венгерский SciPy
greedy,25,uniform,2,,ok,2.960892775743214,1.531742,0.9330231695306481,0.0,,1.531741604027439,0.9330236692390408,unlimited_hungarian,Жадный
aco,25,uniform,3,1.0,ok,1.4051878696791866,1.374302,0.022473859223945514,1.0105531215667725,21.0,1.3743015712864604,0.0224741781847881,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,25,uniform,3,1.0,ok,1.3743015712864604,1.374302,-3.1195002225814505e-07,0.0,108.0,1.3743015712864604,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,25,uniform,3,,ok,1.3743015712864604,1.374302,-3.1195002225814505e-07,0.0,,1.3743015712864604,0.0,unlimited_hungarian,Венгерский SciPy
greedy,25,uniform,3,,ok,2.86781155245179,1.374302,1.08674043438181,0.0,,1.3743015712864604,1.0867410853407382,unlimited_hungarian,Жадный
aco,25,uniform,4,1.0,ok,1.52695702447422,1.513854,0.008655408298435585,1.0054731369018557,21.0,1.5138543342634123,0.0086551855844062,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,25,uniform,4,1.0,ok,1.5138543342634123,1.513854,2.208029388217625e-07,0.0,60.0,1.5138543342634123,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,25,uniform,4,,ok,1.5138543342634123,1.513854,2.208029388217625e-07,0.0,,1.5138543342634123,0.0,unlimited_hungarian,Венгерский SciPy
greedy,25,uniform,4,,ok,1.935770452619087,1.513854,0.2787035292829343,0.0,,1.5138543342634123,0.2787032469414993,unlimited_hungarian,Жадный
aco,50,uniform,0,1.0,ok,1.6446522063973767,1.165253,0.41141211942588995,1.0039949417114258,10.0,1.1652531686491898,0.411411915149672,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,50,uniform,0,1.0,ok,1.1652531686491898,1.165253,1.4473182186058864e-07,0.0156214237213134,233.0,1.1652531686491898,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,50,uniform,0,,ok,1.1652531686491898,1.165253,1.4473182186058864e-07,0.0,,1.1652531686491898,0.0,unlimited_hungarian,Венгерский SciPy
greedy,50,uniform,0,,ok,2.824677876557933,1.165253,1.424089769825036,0.0,,1.1652531686491898,1.424089418982158,unlimited_hungarian,Жадный
aco,50,uniform,1,1.0,ok,2.2263947942340216,1.660613,0.3407065910203171,1.0031139850616455,10.0,1.6606134242525727,0.34070624849736,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,50,uniform,1,1.0,ok,1.6606134242525727,1.660613,2.5547949644710854e-07,0.0,179.0,1.6606134242525727,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,50,uniform,1,,ok,1.6606134242525727,1.660613,2.5547949644710854e-07,0.0,,1.6606134242525727,0.0,unlimited_hungarian,Венгерский SciPy
greedy,50,uniform,1,,ok,3.0475553722192386,1.660613,0.8351990332601507,0.0,,1.6606134242525727,0.8351985644045459,unlimited_hungarian,Жадный
aco,50,uniform,2,1.0,ok,1.932639358719936,1.572893,0.22871635815019586,1.0024588108062744,10.0,1.5728928051373516,0.2287165103734896,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,50,uniform,2,1.0,ok,1.5728928051373516,1.572893,-1.238880511511553e-07,0.0,211.0,1.5728928051373516,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,50,uniform,2,,ok,1.5728928051373516,1.572893,-1.238880511511553e-07,0.0,,1.5728928051373516,0.0,unlimited_hungarian,Венгерский SciPy
greedy,50,uniform,2,,ok,2.101326918825763,1.572893,0.33596304314773007,0.0,,1.5728928051373516,0.3359632086576085,unlimited_hungarian,Жадный
aco,50,uniform,3,1.0,ok,1.7978769167891493,1.441647,0.24709926687264594,1.0031616687774658,10.0,1.441647014985592,0.2470992539093333,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,50,uniform,3,1.0,ok,1.441647014985592,1.441647,1.0394772154143084e-08,0.0156252384185791,264.0,1.441647014985592,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,50,uniform,3,,ok,1.441647014985592,1.441647,1.0394772154143084e-08,0.0,,1.441647014985592,0.0,unlimited_hungarian,Венгерский SciPy
greedy,50,uniform,3,,ok,3.018976972289431,1.441647,1.0941166404046423,0.0,,1.441647014985592,1.0941166186367772,unlimited_hungarian,Жадный
aco,50,uniform,4,1.0,ok,1.706836563317372,1.38567,0.2317770921773381,1.0035502910614014,10.0,1.3856696581784833,0.2317773960361338,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,50,uniform,4,1.0,ok,1.3856696581784833,1.38567,-2.4668320497411855e-07,0.0156290531158447,224.0,1.3856696581784833,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,50,uniform,4,,ok,1.3856696581784833,1.38567,-2.4668320497411855e-07,0.0,,1.3856696581784833,0.0,unlimited_hungarian,Венгерский SciPy
greedy,50,uniform,4,,ok,2.6246051186446246,1.38567,0.894105464248071,0.0,,1.3856696581784833,0.8941059314921929,unlimited_hungarian,Жадный
aco,100,uniform,0,1.0,ok,3.01156794158092,1.66128,0.8127997336878308,1.0040137767791748,4.0,1.6612799516999135,0.8127997863932062,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,100,uniform,0,1.0,ok,1.6612799516999135,1.66128,-2.907401919216568e-08,0.0625238418579101,685.0,1.6612799516999135,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,100,uniform,0,,ok,1.6612799516999135,1.66128,-2.907401919216568e-08,0.0,,1.6612799516999135,0.0,unlimited_hungarian,Венгерский SciPy
greedy,100,uniform,0,,ok,3.4902455053428705,1.66128,1.1009375333133908,0.0,,1.6612799516999135,1.1009375943960906,unlimited_hungarian,Жадный
aco,100,uniform,1,1.0,ok,2.9246114759369557,1.624391,0.8004356561548025,1.000002145767212,4.0,1.624390547679894,0.800436157495596,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,100,uniform,1,1.0,ok,1.624390547679894,1.624391,-2.7845519079416903e-07,0.0783920288085937,902.0,1.624390547679894,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,100,uniform,1,,ok,1.624390547679894,1.624391,-2.7845519079416903e-07,0.0157098770141601,,1.624390547679894,0.0,unlimited_hungarian,Венгерский SciPy
greedy,100,uniform,1,,ok,3.4659345722894166,1.624391,1.133682452247899,0.0,,1.624390547679894,1.1336830463830188,unlimited_hungarian,Жадный
aco,100,uniform,2,1.0,ok,2.98997131641366,1.531652,0.9521218373453368,1.0156238079071045,4.0,1.531651942072291,0.952121911175391,unlimited_hungarian,Муравьиный алг-м
