algo,n,mode,seed,time_limit,status,cost,opt_cost,rel_error,elapsed,iterations,opt_cost_bench,rel_error_bench,rel_error_ref,algo_display
hungarian_scipy,50,uniform,1,,ok,1.6606134242525727,1.660613,2.5547949644710854e-07,0.0,,1.6606134242525727,0.0,unlimited_hungarian,Венгерский SciPy
greedy,50,uniform,1,,ok,3.0475553722192386,1.660613,0.8351990332601507,0.0,,1.6606134242525727,0.8351985644045459,unlimited_hungarian,Жадный
aco,50,uniform,2,0.5,ok,1.9329957375760949,1.572893,0.22894293354735185,0.515620231628418,6.0,1.5728928051373516,0.2289430857987156,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,50,uniform,2,0.5,ok,1.5728928051373516,1.572893,-1.238880511511553e-07,0.0156292915344238,211.0,1.5728928051373516,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,50,uniform,2,,ok,1.5728928051373516,1.572893,-1.238880511511553e-07,0.0,,1.5728928051373516,0.0,unlimited_hungarian,Венгерский SciPy
greedy,50,uniform,2,,ok,2.101326918825763,1.572893,0.33596304314773007,0.0,,1.5728928051373516,0.3359632086576085,unlimited_hungarian,Жадный
aco,50,uniform,3,0.5,ok,2.1966567073411403,1.441647,0.5237132996781739,0.5056097507476807,5.0,1.441647014985592,0.5237132838395215,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,50,uniform,3,0.5,ok,1.441647014985592,1.441647,1.0394772154143084e-08,0.0161576271057128,264.0,1.441647014985592,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,50,uniform,3,,ok,1.441647014985592,1.441647,1.0394772154143084e-08,0.0,,1.441647014985592,0.0,unlimited_hungarian,Венгерский SciPy
greedy,50,uniform,3,,ok,3.018976972289431,1.441647,1.0941166404046423,0.0,,1.441647014985592,1.0941166186367772,unlimited_hungarian,Жадный
aco,50,uniform,4,0.5,ok,1.706836563317372,1.38567,0.2317770921773381,0.5035297870635986,5.0,1.3856696581784833,0.2317773960361338,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,50,uniform,4,0.5,ok,1.3856696581784833,1.38567,-2.4668320497411855e-07,0.0,224.0,1.3856696581784833,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,50,uniform,4,,ok,1.3856696581784833,1.38567,-2.4668320497411855e-07,0.0,,1.3856696581784833,0.0,unlimited_hungarian,Венгерский SciPy
greedy,50,uniform,4,,ok,2.6246051186446246,1.38567,0.894105464248071,0.0,,1.3856696581784833,0.8941059314921929,unlimited_hungarian,Жадный
aco,100,uniform,0,0.5,ok,3.672157710904553,1.66128,1.2104387646300157,0.5043725967407227,2.0,1.6612799516999135,1.2104388288963566,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,100,uniform,0,0.5,ok,1.6612799516999135,1.66128,-2.907401919216568e-08,0.0625059604644775,685.0,1.6612799516999135,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,100,uniform,0,,ok,1.6612799516999135,1.66128,-2.907401919216568e-08,0.0,,1.6612799516999135,0.0,unlimited_hungarian,Венгерский SciPy
greedy,100,uniform,0,,ok,3.4902455053428705,1.66128,1.1009375333133908,0.0156340599060058,,1.6612799516999135,1.1009375943960906,unlimited_hungarian,Жадный
aco,100,uniform,1,0.5,ok,2.9246114759369557,1.624391,0.8004356561548025,0.5156049728393555,2.0,1.624390547679894,0.800436157495596,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,100,uniform,1,0.5,ok,1.624390547679894,1.624391,-2.7845519079416903e-07,0.0781278610229492,902.0,1.624390547679894,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,100,uniform,1,,ok,1.624390547679894,1.624391,-2.7845519079416903e-07,0.0,,1.624390547679894,0.0,unlimited_hungarian,Венгерский SciPy
greedy,100,uniform,1,,ok,3.4659345722894166,1.624391,1.133682452247899,0.0,,1.624390547679894,1.1336830463830188,unlimited_hungarian,Жадный
aco,100,uniform,2,0.5,ok,3.256550887442016,1.531652,1.1261689257364051,0.5156207084655762,2.0,1.531651942072291,1.1261690061489915,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,100,uniform,2,0.5,ok,1.531651942072291,1.531652,-3.782041158029159e-08,0.0471472740173339,523.0,1.531651942072291,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,100,uniform,2,,ok,1.531651942072291,1.531652,-3.782041158029159e-08,0.0,,1.531651942072291,0.0,unlimited_hungarian,Венгерский SciPy
greedy,100,uniform,2,,ok,3.4770479892416657,1.531652,1.2701292390449432,0.0153872966766357,,1.531651942072291,1.2701293249021688,unlimited_hungarian,Жадный
aco,100,uniform,3,0.5,ok,3.089527493736121,1.462691,1.1122215790868482,0.5000030994415283,2.0,1.4626912665295322,1.1122211942008216,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,100,uniform,3,0.5,ok,1.4626912665295322,1.462691,1.822186177502516e-07,0.0625007152557373,470.0,1.4626912665295322,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,100,uniform,3,,ok,1.4626912665295322,1.462691,1.822186177502516e-07,0.0,,1.4626912665295322,0.0,unlimited_hungarian,Венгерский SciPy
greedy,100,uniform,3,,ok,4.105827207661571,1.462691,1.8070366247290583,0.0,,1.4626912665295322,1.8070361132348176,unlimited_hungarian,Жадный
aco,100,uniform,4,0.5,ok,3.047682332954788,1.460538,1.086684723680444,0.5006518363952637,2.0,1.460537694294736,1.086685160444594,unlimited_hungarian,Муравьиный алг-м
hungarian_manual,100,uniform,4,0.5,ok,1.460537694294736,1.460538,-2.09310037857513e-07,0.0625052452087402,767.0,1.460537694294736,0.0,unlimited_hungarian,Венгерский
hungarian_scipy,100,uniform,4,,ok,1.460537694294736,1.460538,-2.09310037857513e-07,0.0156259536743164,,1.460537694294736,0.0,unlimited_hungarian,Венгерский SciPy
greedy,100,uniform,4,,ok,3.845671167945393,1.460538,1.6330510866169816,0.0,,1.460537694294736,1.6330516377411195,unlimited_hungarian,Жадный
