algo,n,mode,seed,time_limit,status,cost,opt_cost,rel_error,elapsed,iterations,opt_cost_bench,rel_error_bench,rel_error_ref,algo_display,exp_mode
aco,50,uniform,2,250.0,ok,1.6010226411297412,1.572893,0.0178840144432845,101.60707235336304,1000.0,1.5728928051373516,0.017884140546967,unlimited_hungarian,Муравьиный алг-м,modeA
hungarian_manual,50,uniform,2,250.0,ok,1.5728928051373516,1.572893,-1.238880511511553e-07,0.0155937671661376,211.0,1.5728928051373516,0.0,unlimited_hungarian,Венгерский,modeA
hungarian_scipy,50,uniform,2,,ok,1.5728928051373516,1.572893,-1.238880511511553e-07,0.0,,1.5728928051373516,0.0,unlimited_hungarian,Венгерский SciPy,modeA
greedy,50,uniform,2,,ok,2.101326918825763,1.572893,0.33596304314773,0.0,,1.5728928051373516,0.3359632086576085,unlimited_hungarian,Жадный,modeA
aco,50,uniform,3,250.0,ok,1.4652066517013411,1.441647,0.0163421778711023,102.32993268966676,1000.0,1.441647014985592,0.0163421673064571,unlimited_hungarian,Муравьиный алг-м,modeA
hungarian_manual,50,uniform,3,250.0,ok,1.441647014985592,1.441647,1.0394772154143084e-08,0.0156147480010986,264.0,1.441647014985592,0.0,unlimited_hungarian,Венгерский,modeA
hungarian_scipy,50,uniform,3,,ok,1.441647014985592,1.441647,1.0394772154143084e-08,0.0,,1.441647014985592,0.0,unlimited_hungarian,Венгерский SciPy,modeA
greedy,50,uniform,3,,ok,3.018976972289431,1.441647,1.0941166404046423,0.0,,1.441647014985592,1.0941166186367772,unlimited_hungarian,Жадный,modeA
aco,50,uniform,4,250.0,ok,1.3982553669604143,1.38567,0.0090825138455867,104.30488848686218,1000.0,1.3856696581784833,0.0090827627693568,unlimited_hungarian,Муравьиный алг-м,modeA
hungarian_manual,50,uniform,4,250.0,ok,1.3856696581784833,1.38567,-2.4668320497411855e-07,0.0,224.0,1.3856696581784833,0.0,unlimited_hungarian,Венгерский,modeA
hungarian_scipy,50,uniform,4,,ok,1.3856696581784833,1.38567,-2.4668320497411855e-07,0.0,,1.3856696581784833,0.0,unlimited_hungarian,Венгерский SciPy,modeA
greedy,50,uniform,4,,ok,2.6246051186446246,1.38567,0.894105464248071,0.0156214237213134,,1.3856696581784833,0.8941059314921929,unlimited_hungarian,Жадный,modeA
aco,100,uniform,0,250.0,ok,1.84825616782151,1.66128,0.1125494605494015,250.003244638443,807.0,1.6612799516999135,0.1125494928956868,unlimited_hungarian,Муравьиный алг-м,modeA
hungarian_manual,100,uniform,0,250.0,ok,1.6612799516999135,1.66128,-2.9074019192165682e-08,0.078122854232788,685.0,1.6612799516999135,0.0,unlimited_hungarian,Венгерский,modeA
hungarian_scipy,100,uniform,0,,ok,1.6612799516999135,1.66128,-2.9074019192165682e-08,0.0,,1.6612799516999135,0.0,unlimited_hungarian,Венгерский SciPy,modeA
greedy,100,uniform,0,,ok,3.4902455053428705,1.66128,1.1009375333133908,0.0,,1.6612799516999135,1.1009375943960906,unlimited_hungarian,Жадный,modeA
aco,100,uniform,1,250.0,ok,1.8392495207385744,1.624391,0.1322701989475283,250.0054326057434,813.0,1.624390547679894,0.1322705142341304,unlimited_hungarian,Муравьиный алг-м,modeA
hungarian_manual,100,uniform,1,250.0,ok,1.624390547679894,1.624391,-2.784551907941691e-07,0.0781240463256836,902.0,1.624390547679894,0.0,unlimited_hungarian,Венгерский,modeA
hungarian_scipy,100,uniform,1,,ok,1.624390547679894,1.624391,-2.784551907941691e-07,0.0,,1.624390547679894,0.0,unlimited_hungarian,Венгерский SciPy,modeA
greedy,100,uniform,1,,ok,3.4659345722894166,1.624391,1.133682452247899,0.0156309604644775,,1.624390547679894,1.1336830463830188,unlimited_hungarian,Жадный,modeA
aco,100,uniform,2,250.0,ok,1.728909180317443,1.531652,0.1287872051337006,250.0096516609192,810.0,1.531651942072291,0.128787247824899,unlimited_hungarian,Муравьиный алг-м,modeA
hungarian_manual,100,uniform,2,250.0,ok,1.531651942072291,1.531652,-3.782041158029159e-08,0.0470831394195556,523.0,1.531651942072291,0.0,unlimited_hungarian,Венгерский,modeA
hungarian_scipy,100,uniform,2,,ok,1.531651942072291,1.531652,-3.782041158029159e-08,0.0,,1.531651942072291,0.0,unlimited_hungarian,Венгерский SciPy,modeA
greedy,100,uniform,2,,ok,3.4770479892416657,1.531652,1.2701292390449432,0.0,,1.531651942072291,1.2701293249021688,unlimited_hungarian,Жадный,modeA
aco,100,uniform,3,250.0,ok,1.6098703586782284,1.462691,0.1006223178225806,250.0155336856842,810.0,1.4626912665295322,0.1006221172687398,unlimited_hungarian,Муравьиный алг-м,modeA
hungarian_manual,100,uniform,3,250.0,ok,1.4626912665295322,1.462691,1.822186177502516e-07,0.0468754768371582,470.0,1.4626912665295322,0.0,unlimited_hungarian,Венгерский,modeA
hungarian_scipy,100,uniform,3,,ok,1.4626912665295322,1.462691,1.822186177502516e-07,0.0,,1.4626912665295322,0.0,unlimited_hungarian,Венгерский SciPy,modeA
greedy,100,uniform,3,,ok,4.105827207661571,1.462691,1.8070366247290583,0.0156247615814208,,1.4626912665295322,1.8070361132348176,unlimited_hungarian,Жадный,modeA
aco,100,uniform,4,250.0,ok,1.6285230561195827,1.460538,0.1150158750539751,250.0113115310669,795.0,1.460537694294736,0.115016108438039,unlimited_hungarian,Муравьиный алг-м,modeA
hungarian_manual,100,uniform,4,250.0,ok,1.460537694294736,1.460538,-2.09310037857513e-07,0.0779609680175781,767.0,1.460537694294736,0.0,unlimited_hungarian,Венгерский,modeA
hungarian_scipy,100,uniform,4,,ok,1.460537694294736,1.460538,-2.09310037857513e-07,0.0,,1.460537694294736,0.0,unlimited_hungarian,Венгерский SciPy,modeA
greedy,100,uniform,4,,ok,3.845671167945393,1.460538,1.6330510866169816,0.0158405303955078,,1.460537694294736,1.6330516377411195,unlimited_hungarian,Жадный,modeA
aco,300,uniform,0,250.0,ok,3.443581432177268,1.711219,1.012355772216921,250.0453424453736,102.0,1.7112191994198425,1.0123555377036153,unlimited_hungarian,Муравьиный алг-м,modeA
hungarian_manual,300,uniform,0,250.0,ok,1.7112191994198425,1.711219,1.1653671583289339e-07,1.2813239097595217,4852.0,1.7112191994198425,0.0,unlimited_hungarian,Венгерский,modeA
hungarian_scipy,300,uniform,0,,ok,1.7112191994198425,1.711219,1.1653671583289339e-07,0.0153791904449462,,1.7112191994198425,0.0,unlimited_hungarian,Венгерский SciPy,modeA
greedy,300,uniform,0,,ok,5.260889576171588,1.711219,2.074352012320801,0.0939228534698486,,1.7112191994198425,2.0743516540459552,unlimited_hungarian,Жадный,modeA
aco,300,uniform,1,250.0,ok,3.4231878916452545,1.628451,1.1021129230448166,250.0183198451996,101.0,1.6284514089738351,1.1021123951143057,unlimited_hungarian,Муравьиный алг-м,modeA
hungarian_manual,300,uniform,1,250.0,ok,1.6284514089738351,1.628451,2.5114285606697706e-07,1.0939533710479736,4056.0,1.6284514089738351,0.0,unlimited_hungarian,Венгерский,modeA
hungarian_scipy,300,uniform,1,,ok,1.6284514089738351,1.628451,2.5114285606697706e-07,0.015629768371582,,1.6284514089738351,0.0,unlimited_hungarian,Венгерский SciPy,modeA
greedy,300,uniform,1,,ok,5.549148141772161,1.628451,2.4076236508019955,0.0940678119659423,,1.6284514089738351,2.407622795001874,unlimited_hungarian,Жадный,modeA
aco,300,uniform,2,250.0,ok,3.65897166141812,1.628006,1.2475173073183514,250.0649149417877,102.0,1.6280057887700177,1.2475175989285188,unlimited_hungarian,Муравьиный алг-м,modeA
hungarian_manual,300,uniform,2,250.0,ok,1.6280057887700177,1.628006,-1.2974766827600348e-07,0.8596134185791016,3195.0,1.6280057887700177,0.0,unlimited_hungarian,Венгерский,modeA
hungarian_scipy,300,uniform,2,,ok,1.6280057887700177,1.628006,-1.2974766827600348e-07,0.0155792236328125,,1.6280057887700177,0.0,unlimited_hungarian,Венгерский SciPy,modeA
greedy,300,uniform,2,,ok,5.367730682128529,1.628006,2.2971197170824484,0.0939605236053466,,1.6280057887700177,2.297120144876099,unlimited_hungarian,Жадный,modeA
aco,300,uniform,3,250.0,ok,3.0950313090961616,1.497873,1.0662841970555323,250.0745141506195,100.0,1.4978734496632655,1.0662835767547318,unlimited_hungarian,Муравьиный алг-м,modeA
hungarian_manual,300,uniform,3,250.0,ok,1.4978734496632655,1.497873,3.002011956798612e-07,0.7206165790557861,2593.0,1.4978734496632655,0.0,unlimited_hungarian,Венгерский,modeA
hungarian_scipy,300,uniform,3,,ok,1.4978734496632655,1.497873,3.002011956798612e-07,0.0,,1.4978734496632655,0.0,unlimited_hungarian,Венгерский SciPy,modeA
greedy,300,uniform,3,,ok,4.433063341908943,1.497873,1.9595722347014355,0.0934922695159912,,1.4978734496632655,1.9595713462345776,unlimited_hungarian,Жадный,modeA
aco,300,uniform,4,250.0,ok,3.5518495932930327,1.640847,1.1646439877045411,250.07809710502625,99.0,1.6408474603248129,1.164643380433382,unlimited_hungarian,Муравьиный алг-м,modeA
